path,label,start,end,subject,cam,dataset
Coffee_room_01/video_1,0,0.363,1.61256,1,1,le2i
Coffee_room_01/video_1,1,1.55006,3.5709,1,1,le2i
Coffee_room_01/video_1,2,3.571,6.2584,1,1,le2i
Coffee_room_01/video_2,0,0.001,4.3209,1,1,le2i
Coffee_room_01/video_2,8,4.321,5.3834,1,1,le2i
Coffee_room_01/video_2,0,5.383,7.21673,1,1,le2i
Coffee_room_01/video_2,1,7.217,9.34173,1,1,le2i
Coffee_room_01/video_2,2,9.342,12.242,1,1,le2i
Coffee_room_01/video_3,0,0.27,4.8834,1,1,le2i
Coffee_room_01/video_3,8,4.883,5.80006,1,1,le2i
Coffee_room_01/video_3,0,5.8,8.34173,1,1,le2i
Coffee_room_01/video_3,1,8.342,10.55006,1,1,le2i
Coffee_room_01/video_3,2,10.55,12.33756,1,1,le2i
Coffee_room_01/video_9,7,0.0,1.98681,0,1,le2i
Coffee_room_01/video_9,0,1.987,3.13264,0,1,le2i
Coffee_room_01/video_9,1,3.133,5.67431,0,1,le2i
Coffee_room_01/video_9,2,5.674,8.254,0,1,le2i
Coffee_room_01/video_10,0,0.0,3.42506,0,1,le2i
Coffee_room_01/video_10,9,3.425,5.59173,0,1,le2i
Coffee_room_01/video_10,0,5.592,7.8209,0,1,le2i
Coffee_room_01/video_10,1,7.821,10.59173,0,1,le2i
Coffee_room_01/video_10,2,10.592,14.472,0,1,le2i
Coffee_room_01/video_11,8,0.0,0.92506,0,1,le2i
Coffee_room_01/video_11,0,0.925,3.883,0,1,le2i
Coffee_room_01/video_11,9,3.883,5.73681,0,1,le2i
Coffee_room_01/video_11,0,5.737,14.717,0,1,le2i
Coffee_room_01/video_11,1,14.717,16.6334,0,1,le2i
Coffee_room_01/video_11,2,16.633,19.333,0,1,le2i
Coffee_room_01/video_12,4,0.001,0.6959,0,1,le2i
Coffee_room_01/video_12,7,0.696,1.90423,0,1,le2i
Coffee_room_01/video_12,1,1.904,3.61256,0,1,le2i
Coffee_room_01/video_12,2,3.613,7.273,0,1,le2i
Coffee_room_01/video_13,4,0.001,0.3834,0,1,le2i
Coffee_room_01/video_13,7,0.383,2.11256,0,1,le2i
Coffee_room_01/video_13,0,2.113,3.27923,0,1,le2i
Coffee_room_01/video_13,1,3.279,5.1959,0,1,le2i
Coffee_room_01/video_13,2,5.196,9.756,0,1,le2i
Coffee_room_01/video_14,0,0.0,1.77923,0,1,le2i
Coffee_room_01/video_14,1,1.779,3.40423,0,1,le2i
Coffee_room_01/video_14,2,3.404,7.024,0,1,le2i
Coffee_room_01/video_15,0,0.0,1.6959,0,1,le2i
Coffee_room_01/video_15,1,1.696,3.40423,0,1,le2i
Coffee_room_01/video_15,2,3.404,5.584,0,1,le2i
Coffee_room_01/video_16,0,0.0,1.42506,0,1,le2i
Coffee_room_01/video_16,1,1.425,3.17506,0,1,le2i
Coffee_room_01/video_16,2,3.175,7.075,0,1,le2i
Coffee_room_01/video_17,0,0.0,0.55006,0,1,le2i
Coffee_room_01/video_17,1,0.5084,2.61256,0,1,le2i
Coffee_room_01/video_17,2,2.613,6.313,0,1,le2i
Coffee_room_01/video_18,0,0.0,5.71673,0,1,le2i
Coffee_room_01/video_18,1,5.717,8.1334,0,1,le2i
Coffee_room_01/video_18,2,8.133,10.753,0,1,le2i
Coffee_room_01/video_19,0,0.0,3.02923,0,1,le2i
Coffee_room_01/video_19,1,3.02923,5.65423,0,1,le2i
Coffee_room_01/video_19,2,5.654,8.514,0,1,le2i
Coffee_room_01/video_20,0,0.0,3.0084,0,1,le2i
Coffee_room_01/video_20,8,3.008,7.36256,0,1,le2i
Coffee_room_01/video_20,0,7.363,12.5084,0,1,le2i
Coffee_room_01/video_20,1,12.52923,15.92506,0,1,le2i
